Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C15, C17, C18, C19, C2, C20, C3, C4, C5, C6, C7, C8, C9",0402,16,100n,
"C12, C13",0603,2,4u7,
"C14, C16",0603,2,15p,
CR1,CFP5_SOD128_NEX,1,PMEG3050BEP_115,
D1,D_SMF,1,SMF5.0A,
D2,0603,1,RED,
"D3, D4",SOT-23,2,SY205215AOC,
"D5, D8",0603,2,GREEN,
"D6, D7",0603,2,YELLOW,
FB1,0603,1,ILBB0603ER600V,
J1,GCT_USB4930-00-A_REVA,1,USB4930-00-A,
J2,IDC-Header_2x07_P2.54mm_Horizontal,1,75867-302LF,
J3,PinHeader_1x04_P2.54mm_Horizontal,1,M20-9960445,
"R1, R12, R13, R14, R4, R5",0603,6,2k,
R10,0402,1,12k 1%,
"R11, R17, R6, R7, R8",0402,5,10k,
R15,0603,1,100k,
"R16, R9",0603,2,5k1,
"R18, R19",0402,2,0,
R2,0402,1,2k7,
"R20, R21, R22",0402,3,33,
R3,0402,1,510,
U1,WLCSP4_0P64X0P64_ONS,1,NCP167AFCT350T2G,
U2,QFN68_FT2232_FTD,1,FT2232HPQ,
U3,SOT-23-5,1,TLV75801PDBV,
U4,TSSOP14_PW_TEX,1,TXU0304PWR,
U5,SOT-23-6_MC_MCH,1,93LC66BT-I/OT,
U6,SO8_DCU_TEX,1,TXU0202DCUR,
Y1,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,1,ABM8-272-T3,
