Designator,Mid X,Mid Y,Rotation,Layer
C1,145.75,-108.5,270.0,top
C10,151.5,-100.75,0.0,top
C11,139.0,-100.0,180.0,top
C12,134.0,-115.25,270.0,top
C13,129.0,-111.5,270.0,top
C14,145.25,-94.0,0.0,top
C15,148.25,-108.499106,270.0,top
C16,141.0,-94.0,180.0,top
C17,154.75,-109.75,0.0,top
C18,147.0,-108.5,270.0,top
C19,128.0,-87.0,90.0,top
C2,142.5,-108.5,270.0,top
C20,156.5,-92.5,90.0,top
C3,151.5,-102.0,0.0,top
C4,147.0,-96.25,0.0,top
C5,139.0,-102.75,180.0,top
C6,149.5,-108.5,270.0,top
C7,142.0,-95.5,180.0,top
C8,147.0,-95.25,0.0,top
C9,139.25,-106.0,180.0,top
D1,137.75,-118.75,270.0,top
D2,128.25,-107.5,270.0,top
D3,149.0,-118.0,270.0,top
D4,144.5,-118.0,270.0,top
D5,160.5,-117.25,270.0,top
D6,135.25,-101.5,180.0,top
D7,128.5,-95.0,90.0,top
D8,126.75,-95.0,90.0,top
FB1,140.75,-108.5,90.0,top
J1,145.0,-127.0,0.0,top
J2,151.0,-82.4275,90.0,top
J3,131.0,-80.385,90.0,top
R1,126.75,-107.5,270.0,top
R10,145.5,-112.0,270.0,top
R11,156.0,-103.5,0.0,top
R12,159.0,-106.25,90.0,top
R13,128.5,-98.25,270.0,top
R14,126.75,-98.25,270.0,top
R15,140.135,-111.25,0.0,top
R16,140.25,-112.945,180.0,top
R17,140.25,-114.5,0.0,top
R18,143.495,-108.5975,90.0,top
R19,144.5,-108.5975,90.0,top
R20,154.25,-101.5,90.0,top
R21,153.25,-101.5,90.0,top
R22,150.75,-97.75,90.0,top
R4,160.5,-114.0,270.0,top
R5,138.5,-101.5,180.0,top
R6,152.75,-106.75,270.0,top
R7,151.5,-106.75,90.0,top
R8,159.25,-108.5,180.0,top
R9,156.5,-102.0,180.0,top
Y1,142.5,-91.0,180.0,top
